reading uai file ../../../data//deer_rescaled_0034.K20.F100.model.uai
done reading uai file
normalizing #tables=1830
prob.avg_domain_size=21
prob.N=1
param.rho=1
param.eta=1
@0: T=60, n=781830, nf=0, m=0, me=74400
iter=0, #inner=1, relaxed-p-obj=nan, decoded_t=8115.652, best_decoded=8115.652, eta=1, p_inf=2.1e+02, d_inf=2e+03, gap=nan, nnz=144081(0.22), time=0.51
iter=115, #inner=26, relaxed-p-obj=nan, decoded_t=6694.179, best_decoded=8115.652, eta=1, p_inf=0.14, d_inf=0.0034, gap=nan, nnz=21219(0.037), time=15
iter=120, #inner=26, relaxed-p-obj=nan, decoded_t=3664.674, best_decoded=8115.652, eta=1, p_inf=0.14, d_inf=0.014, gap=nan, nnz=21624(0.038), time=16
iter=125, #inner=26, relaxed-p-obj=nan, decoded_t=3759.748, best_decoded=8115.652, eta=1, p_inf=0.14, d_inf=0.0058, gap=nan, nnz=22002(0.038), time=17
iter=130, #inner=25, relaxed-p-obj=nan, decoded_t=3148.479, best_decoded=8115.652, eta=1, p_inf=0.13, d_inf=0.0071, gap=nan, nnz=22400(0.039), time=17
iter=135, #inner=25, relaxed-p-obj=nan, decoded_t=3660.982, best_decoded=8115.652, eta=1, p_inf=0.13, d_inf=0.0069, gap=nan, nnz=22735(0.039), time=18
iter=140, #inner=25, relaxed-p-obj=nan, decoded_t=4673.209, best_decoded=8115.652, eta=1, p_inf=0.12, d_inf=0.0081, gap=nan, nnz=23016(0.04), time=19
iter=145, #inner=24, relaxed-p-obj=nan, decoded_t=4673.209, best_decoded=8115.652, eta=1, p_inf=0.12, d_inf=0.0027, gap=nan, nnz=23353(0.04), time=20
iter=150, #inner=24, relaxed-p-obj=nan, decoded_t=4673.209, best_decoded=8115.652, eta=1, p_inf=0.1, d_inf=0.0038, gap=nan, nnz=23646(0.041), time=21
iter=155, #inner=24, relaxed-p-obj=nan, decoded_t=4673.209, best_decoded=8115.652, eta=1, p_inf=0.1, d_inf=0.0055, gap=nan, nnz=23916(0.041), time=21
iter=160, #inner=24, relaxed-p-obj=nan, decoded_t=4673.209, best_decoded=8115.652, eta=1, p_inf=0.091, d_inf=0.0077, gap=nan, nnz=24196(0.041), time=22
iter=165, #inner=23, relaxed-p-obj=nan, decoded_t=4673.209, best_decoded=8115.652, eta=1, p_inf=0.086, d_inf=0.0084, gap=nan, nnz=24376(0.042), time=23
iter=170, #inner=23, relaxed-p-obj=nan, decoded_t=4673.209, best_decoded=8115.652, eta=1, p_inf=0.083, d_inf=0.0073, gap=nan, nnz=24567(0.042), time=24
iter=175, #inner=23, relaxed-p-obj=nan, decoded_t=4673.209, best_decoded=8115.652, eta=1, p_inf=0.08, d_inf=0.0058, gap=nan, nnz=24752(0.042), time=24
iter=180, #inner=23, relaxed-p-obj=nan, decoded_t=2981.177, best_decoded=8115.652, eta=1, p_inf=0.08, d_inf=0.005, gap=nan, nnz=24984(0.043), time=25
iter=185, #inner=23, relaxed-p-obj=nan, decoded_t=2981.177, best_decoded=8115.652, eta=1, p_inf=0.08, d_inf=0.0032, gap=nan, nnz=25199(0.043), time=26
iter=190, #inner=23, relaxed-p-obj=nan, decoded_t=2981.177, best_decoded=8115.652, eta=1, p_inf=0.078, d_inf=0.0034, gap=nan, nnz=25338(0.043), time=27
iter=195, #inner=23, relaxed-p-obj=nan, decoded_t=2981.177, best_decoded=8115.652, eta=1, p_inf=0.077, d_inf=0.0034, gap=nan, nnz=25503(0.043), time=28
iter=200, #inner=23, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.077, d_inf=0.0039, gap=nan, nnz=25639(0.043), time=28
iter=205, #inner=22, relaxed-p-obj=nan, decoded_t=4262.156, best_decoded=8115.652, eta=1, p_inf=0.076, d_inf=0.0075, gap=nan, nnz=25830(0.044), time=29
iter=210, #inner=22, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.076, d_inf=0.0029, gap=nan, nnz=26021(0.044), time=30
iter=215, #inner=22, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.077, d_inf=0.0042, gap=nan, nnz=26148(0.044), time=31
iter=220, #inner=22, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.068, d_inf=0.0049, gap=nan, nnz=26289(0.044), time=31
iter=225, #inner=22, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.067, d_inf=0.0066, gap=nan, nnz=26444(0.045), time=32
iter=230, #inner=22, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.065, d_inf=0.0044, gap=nan, nnz=26528(0.045), time=33
iter=235, #inner=22, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.064, d_inf=0.019, gap=nan, nnz=26653(0.045), time=34
iter=240, #inner=22, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.063, d_inf=0.0059, gap=nan, nnz=26734(0.045), time=35
iter=245, #inner=22, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.06, d_inf=0.0032, gap=nan, nnz=26754(0.045), time=35
iter=250, #inner=22, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.06, d_inf=0.0039, gap=nan, nnz=26917(0.045), time=36
iter=255, #inner=22, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.057, d_inf=0.0042, gap=nan, nnz=26987(0.045), time=37
iter=260, #inner=21, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.057, d_inf=0.004, gap=nan, nnz=27084(0.046), time=38
iter=265, #inner=21, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.057, d_inf=0.0066, gap=nan, nnz=27097(0.046), time=39
iter=270, #inner=21, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.054, d_inf=0.0051, gap=nan, nnz=27117(0.046), time=39
iter=275, #inner=21, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.051, d_inf=0.0044, gap=nan, nnz=27158(0.046), time=40
iter=280, #inner=21, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.055, d_inf=0.0054, gap=nan, nnz=27244(0.046), time=41
iter=285, #inner=21, relaxed-p-obj=nan, decoded_t=2981.177, best_decoded=8115.652, eta=1, p_inf=0.057, d_inf=0.0038, gap=nan, nnz=27295(0.046), time=42
iter=290, #inner=21, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.063, d_inf=0.0059, gap=nan, nnz=27417(0.046), time=43
iter=295, #inner=21, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.066, d_inf=0.0058, gap=nan, nnz=27483(0.046), time=43
iter=300, #inner=21, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.064, d_inf=0.0054, gap=nan, nnz=27525(0.047), time=44
iter=305, #inner=21, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.065, d_inf=0.0051, gap=nan, nnz=27598(0.047), time=45
iter=310, #inner=21, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.065, d_inf=0.0022, gap=nan, nnz=27706(0.047), time=46
iter=315, #inner=21, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.068, d_inf=0.0058, gap=nan, nnz=27751(0.047), time=47
iter=320, #inner=21, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.068, d_inf=0.0022, gap=nan, nnz=27831(0.047), time=48
iter=325, #inner=21, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.068, d_inf=0.0049, gap=nan, nnz=27888(0.047), time=48
iter=330, #inner=21, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.068, d_inf=0.0079, gap=nan, nnz=27891(0.047), time=49
iter=335, #inner=21, relaxed-p-obj=nan, decoded_t=3002.196, best_decoded=8115.652, eta=1, p_inf=0.068, d_inf=0.0046, gap=nan, nnz=27911(0.047), time=50
iter=340, #inner=21, relaxed-p-obj=nan, decoded_t=3002.196, best_decoded=8115.652, eta=1, p_inf=0.068, d_inf=0.0066, gap=nan, nnz=27959(0.047), time=51
iter=345, #inner=21, relaxed-p-obj=nan, decoded_t=3458.445, best_decoded=8115.652, eta=1, p_inf=0.068, d_inf=0.0034, gap=nan, nnz=27998(0.047), time=52
iter=350, #inner=21, relaxed-p-obj=nan, decoded_t=3002.196, best_decoded=8115.652, eta=1, p_inf=0.069, d_inf=0.0079, gap=nan, nnz=28039(0.048), time=52
iter=355, #inner=21, relaxed-p-obj=nan, decoded_t=3662.201, best_decoded=8115.652, eta=1, p_inf=0.069, d_inf=0.0047, gap=nan, nnz=28065(0.048), time=53
iter=360, #inner=20, relaxed-p-obj=nan, decoded_t=3662.201, best_decoded=8115.652, eta=1, p_inf=0.07, d_inf=0.0044, gap=nan, nnz=28154(0.048), time=54
iter=365, #inner=20, relaxed-p-obj=nan, decoded_t=3662.201, best_decoded=8115.652, eta=1, p_inf=0.07, d_inf=0.0065, gap=nan, nnz=28155(0.048), time=55
iter=370, #inner=20, relaxed-p-obj=nan, decoded_t=3662.201, best_decoded=8115.652, eta=1, p_inf=0.07, d_inf=0.0039, gap=nan, nnz=28240(0.048), time=56
iter=375, #inner=20, relaxed-p-obj=nan, decoded_t=3662.201, best_decoded=8115.652, eta=1, p_inf=0.068, d_inf=0.0064, gap=nan, nnz=28264(0.048), time=56
iter=380, #inner=20, relaxed-p-obj=nan, decoded_t=3662.201, best_decoded=8115.652, eta=1, p_inf=0.067, d_inf=0.0028, gap=nan, nnz=28332(0.048), time=57
iter=385, #inner=20, relaxed-p-obj=nan, decoded_t=3662.201, best_decoded=8115.652, eta=1, p_inf=0.067, d_inf=0.0037, gap=nan, nnz=28414(0.048), time=58
iter=390, #inner=20, relaxed-p-obj=nan, decoded_t=1736.325, best_decoded=8115.652, eta=1, p_inf=0.065, d_inf=0.0079, gap=nan, nnz=28412(0.048), time=59
iter=395, #inner=20, relaxed-p-obj=nan, decoded_t=1736.325, best_decoded=8115.652, eta=1, p_inf=0.054, d_inf=0.0045, gap=nan, nnz=28420(0.048), time=59
iter=400, #inner=20, relaxed-p-obj=nan, decoded_t=1736.325, best_decoded=8115.652, eta=1, p_inf=0.044, d_inf=0.0035, gap=nan, nnz=28517(0.048), time=60
iter=405, #inner=20, relaxed-p-obj=nan, decoded_t=1736.325, best_decoded=8115.652, eta=1, p_inf=0.044, d_inf=0.0025, gap=nan, nnz=28575(0.049), time=61
iter=410, #inner=20, relaxed-p-obj=nan, decoded_t=3662.201, best_decoded=8115.652, eta=1, p_inf=0.044, d_inf=0.0046, gap=nan, nnz=28573(0.049), time=62
iter=415, #inner=20, relaxed-p-obj=nan, decoded_t=1736.325, best_decoded=8115.652, eta=1, p_inf=0.044, d_inf=0.0041, gap=nan, nnz=28668(0.049), time=62
iter=420, #inner=20, relaxed-p-obj=nan, decoded_t=1736.325, best_decoded=8115.652, eta=1, p_inf=0.044, d_inf=0.0044, gap=nan, nnz=28697(0.049), time=63
iter=425, #inner=20, relaxed-p-obj=nan, decoded_t=1316.502, best_decoded=8115.652, eta=1, p_inf=0.044, d_inf=0.0038, gap=nan, nnz=28770(0.049), time=64
iter=430, #inner=20, relaxed-p-obj=nan, decoded_t=1316.502, best_decoded=8115.652, eta=1, p_inf=0.044, d_inf=0.012, gap=nan, nnz=28773(0.049), time=65
iter=435, #inner=20, relaxed-p-obj=nan, decoded_t=1736.325, best_decoded=8115.652, eta=1, p_inf=0.044, d_inf=0.0035, gap=nan, nnz=28756(0.049), time=66
iter=440, #inner=20, relaxed-p-obj=nan, decoded_t=1316.502, best_decoded=8115.652, eta=1, p_inf=0.044, d_inf=0.005, gap=nan, nnz=28817(0.049), time=66
iter=445, #inner=20, relaxed-p-obj=nan, decoded_t=1316.502, best_decoded=8115.652, eta=1, p_inf=0.044, d_inf=0.0044, gap=nan, nnz=28821(0.049), time=67
iter=450, #inner=20, relaxed-p-obj=nan, decoded_t=1736.325, best_decoded=8115.652, eta=1, p_inf=0.044, d_inf=0.0058, gap=nan, nnz=28876(0.049), time=68
iter=455, #inner=20, relaxed-p-obj=nan, decoded_t=1736.325, best_decoded=8115.652, eta=1, p_inf=0.044, d_inf=0.0058, gap=nan, nnz=28896(0.049), time=69
iter=460, #inner=20, relaxed-p-obj=nan, decoded_t=1736.325, best_decoded=8115.652, eta=1, p_inf=0.044, d_inf=0.0049, gap=nan, nnz=28947(0.049), time=70
iter=465, #inner=20, relaxed-p-obj=nan, decoded_t=1736.325, best_decoded=8115.652, eta=1, p_inf=0.044, d_inf=0.0019, gap=nan, nnz=28981(0.049), time=70
iter=470, #inner=20, relaxed-p-obj=nan, decoded_t=1316.502, best_decoded=8115.652, eta=1, p_inf=0.044, d_inf=0.0026, gap=nan, nnz=29055(0.05), time=71
iter=475, #inner=20, relaxed-p-obj=nan, decoded_t=1316.502, best_decoded=8115.652, eta=1, p_inf=0.044, d_inf=0.0057, gap=nan, nnz=29060(0.05), time=72
iter=480, #inner=20, relaxed-p-obj=nan, decoded_t=1316.502, best_decoded=8115.652, eta=1, p_inf=0.042, d_inf=0.0036, gap=nan, nnz=29082(0.05), time=73
iter=485, #inner=20, relaxed-p-obj=nan, decoded_t=1316.502, best_decoded=8115.652, eta=1, p_inf=0.042, d_inf=0.0054, gap=nan, nnz=29105(0.05), time=73
iter=490, #inner=19, relaxed-p-obj=nan, decoded_t=1316.502, best_decoded=8115.652, eta=1, p_inf=0.042, d_inf=0.0021, gap=nan, nnz=29178(0.05), time=74
iter=495, #inner=19, relaxed-p-obj=nan, decoded_t=1316.502, best_decoded=8115.652, eta=1, p_inf=0.042, d_inf=0.0038, gap=nan, nnz=29238(0.05), time=75
iter=500, #inner=19, relaxed-p-obj=nan, decoded_t=1316.502, best_decoded=8115.652, eta=1, p_inf=0.042, d_inf=0.0021, gap=nan, nnz=29279(0.05), time=76
iter=505, #inner=19, relaxed-p-obj=nan, decoded_t=1316.502, best_decoded=8115.652, eta=1, p_inf=0.042, d_inf=0.0025, gap=nan, nnz=29330(0.05), time=77
iter=510, #inner=19, relaxed-p-obj=nan, decoded_t=1316.502, best_decoded=8115.652, eta=1, p_inf=0.042, d_inf=0.0082, gap=nan, nnz=29282(0.05), time=77
iter=515, #inner=19, relaxed-p-obj=nan, decoded_t=1316.502, best_decoded=8115.652, eta=1, p_inf=0.042, d_inf=0.0026, gap=nan, nnz=29326(0.05), time=78
iter=520, #inner=19, relaxed-p-obj=nan, decoded_t=1316.502, best_decoded=8115.652, eta=1, p_inf=0.042, d_inf=0.0028, gap=nan, nnz=29385(0.051), time=79
iter=525, #inner=19, relaxed-p-obj=nan, decoded_t=1316.502, best_decoded=8115.652, eta=1, p_inf=0.042, d_inf=0.0076, gap=nan, nnz=29347(0.051), time=80
iter=530, #inner=19, relaxed-p-obj=nan, decoded_t=3645.186, best_decoded=8115.652, eta=1, p_inf=0.041, d_inf=0.0056, gap=nan, nnz=29337(0.051), time=80
iter=535, #inner=19, relaxed-p-obj=nan, decoded_t=1316.502, best_decoded=8115.652, eta=1, p_inf=0.042, d_inf=0.0053, gap=nan, nnz=29375(0.051), time=81
iter=540, #inner=19, relaxed-p-obj=nan, decoded_t=1316.502, best_decoded=8115.652, eta=1, p_inf=0.041, d_inf=0.005, gap=nan, nnz=29414(0.051), time=82
iter=545, #inner=19, relaxed-p-obj=nan, decoded_t=1316.502, best_decoded=8115.652, eta=1, p_inf=0.041, d_inf=0.0027, gap=nan, nnz=29460(0.051), time=83
iter=550, #inner=19, relaxed-p-obj=nan, decoded_t=1316.502, best_decoded=8115.652, eta=1, p_inf=0.041, d_inf=0.005, gap=nan, nnz=29502(0.051), time=83
iter=555, #inner=19, relaxed-p-obj=nan, decoded_t=1316.502, best_decoded=8115.652, eta=1, p_inf=0.041, d_inf=0.0046, gap=nan, nnz=29563(0.051), time=84
iter=560, #inner=19, relaxed-p-obj=nan, decoded_t=1316.502, best_decoded=8115.652, eta=1, p_inf=0.041, d_inf=0.0032, gap=nan, nnz=29571(0.051), time=85
iter=565, #inner=19, relaxed-p-obj=nan, decoded_t=2036.777, best_decoded=8115.652, eta=1, p_inf=0.041, d_inf=0.0019, gap=nan, nnz=29638(0.051), time=86
iter=570, #inner=19, relaxed-p-obj=nan, decoded_t=4328.93, best_decoded=8115.652, eta=1, p_inf=0.041, d_inf=0.0066, gap=nan, nnz=29642(0.051), time=87
iter=575, #inner=19, relaxed-p-obj=nan, decoded_t=4328.93, best_decoded=8115.652, eta=1, p_inf=0.04, d_inf=0.0015, gap=nan, nnz=29716(0.051), time=87
iter=580, #inner=19, relaxed-p-obj=nan, decoded_t=4328.93, best_decoded=8115.652, eta=1, p_inf=0.04, d_inf=0.0016, gap=nan, nnz=29753(0.051), time=88
iter=585, #inner=19, relaxed-p-obj=nan, decoded_t=4328.93, best_decoded=8115.652, eta=1, p_inf=0.04, d_inf=0.004, gap=nan, nnz=29767(0.051), time=89
iter=590, #inner=19, relaxed-p-obj=nan, decoded_t=4328.93, best_decoded=8115.652, eta=1, p_inf=0.04, d_inf=0.0037, gap=nan, nnz=29788(0.051), time=90
iter=595, #inner=19, relaxed-p-obj=nan, decoded_t=4328.93, best_decoded=8115.652, eta=1, p_inf=0.04, d_inf=0.0029, gap=nan, nnz=29773(0.051), time=90
iter=600, #inner=19, relaxed-p-obj=nan, decoded_t=4328.93, best_decoded=8115.652, eta=1, p_inf=0.04, d_inf=0.002, gap=nan, nnz=29824(0.052), time=91
iter=605, #inner=19, relaxed-p-obj=nan, decoded_t=4328.93, best_decoded=8115.652, eta=1, p_inf=0.04, d_inf=0.0025, gap=nan, nnz=29849(0.052), time=92
iter=610, #inner=19, relaxed-p-obj=nan, decoded_t=4328.93, best_decoded=8115.652, eta=1, p_inf=0.04, d_inf=0.003, gap=nan, nnz=29891(0.052), time=93
iter=615, #inner=19, relaxed-p-obj=nan, decoded_t=4328.93, best_decoded=8115.652, eta=1, p_inf=0.039, d_inf=0.0042, gap=nan, nnz=29858(0.052), time=94
iter=620, #inner=19, relaxed-p-obj=nan, decoded_t=4328.93, best_decoded=8115.652, eta=1, p_inf=0.038, d_inf=0.0036, gap=nan, nnz=29874(0.052), time=94
iter=625, #inner=19, relaxed-p-obj=nan, decoded_t=4328.93, best_decoded=8115.652, eta=1, p_inf=0.038, d_inf=0.0057, gap=nan, nnz=29883(0.052), time=95
iter=630, #inner=19, relaxed-p-obj=nan, decoded_t=4494.756, best_decoded=8115.652, eta=1, p_inf=0.039, d_inf=0.0034, gap=nan, nnz=29927(0.052), time=96
iter=635, #inner=19, relaxed-p-obj=nan, decoded_t=4494.756, best_decoded=8115.652, eta=1, p_inf=0.039, d_inf=0.002, gap=nan, nnz=29984(0.052), time=97
iter=640, #inner=19, relaxed-p-obj=nan, decoded_t=4494.756, best_decoded=8115.652, eta=1, p_inf=0.039, d_inf=0.0024, gap=nan, nnz=30035(0.052), time=97
iter=645, #inner=19, relaxed-p-obj=nan, decoded_t=4494.756, best_decoded=8115.652, eta=1, p_inf=0.039, d_inf=0.0028, gap=nan, nnz=30108(0.052), time=98
iter=650, #inner=19, relaxed-p-obj=nan, decoded_t=4494.756, best_decoded=8115.652, eta=1, p_inf=0.039, d_inf=0.0024, gap=nan, nnz=30143(0.052), time=99
iter=655, #inner=19, relaxed-p-obj=nan, decoded_t=4494.756, best_decoded=8115.652, eta=1, p_inf=0.039, d_inf=0.0016, gap=nan, nnz=30160(0.052), time=1e+02
iter=660, #inner=19, relaxed-p-obj=nan, decoded_t=4494.756, best_decoded=8115.652, eta=1, p_inf=0.039, d_inf=0.0026, gap=nan, nnz=30173(0.052), time=1e+02
iter=665, #inner=19, relaxed-p-obj=nan, decoded_t=4494.756, best_decoded=8115.652, eta=1, p_inf=0.04, d_inf=0.0035, gap=nan, nnz=30190(0.052), time=1e+02
iter=670, #inner=19, relaxed-p-obj=nan, decoded_t=4494.756, best_decoded=8115.652, eta=1, p_inf=0.039, d_inf=0.0064, gap=nan, nnz=30177(0.052), time=1e+02
iter=675, #inner=19, relaxed-p-obj=nan, decoded_t=4494.756, best_decoded=8115.652, eta=1, p_inf=0.038, d_inf=0.0049, gap=nan, nnz=30194(0.052), time=1e+02
iter=680, #inner=19, relaxed-p-obj=nan, decoded_t=4494.756, best_decoded=8115.652, eta=1, p_inf=0.038, d_inf=0.003, gap=nan, nnz=30204(0.052), time=1e+02
iter=685, #inner=19, relaxed-p-obj=nan, decoded_t=4494.756, best_decoded=8115.652, eta=1, p_inf=0.038, d_inf=0.0045, gap=nan, nnz=30217(0.052), time=1e+02
iter=690, #inner=19, relaxed-p-obj=nan, decoded_t=4494.756, best_decoded=8115.652, eta=1, p_inf=0.04, d_inf=0.0045, gap=nan, nnz=30211(0.052), time=1.1e+02
iter=695, #inner=19, relaxed-p-obj=nan, decoded_t=4494.756, best_decoded=8115.652, eta=1, p_inf=0.038, d_inf=0.0041, gap=nan, nnz=30193(0.052), time=1.1e+02
iter=700, #inner=19, relaxed-p-obj=nan, decoded_t=4494.756, best_decoded=8115.652, eta=1, p_inf=0.038, d_inf=0.0052, gap=nan, nnz=30291(0.053), time=1.1e+02
iter=705, #inner=19, relaxed-p-obj=nan, decoded_t=4494.756, best_decoded=8115.652, eta=1, p_inf=0.039, d_inf=0.002, gap=nan, nnz=30297(0.053), time=1.1e+02
iter=710, #inner=19, relaxed-p-obj=nan, decoded_t=4494.756, best_decoded=8115.652, eta=1, p_inf=0.038, d_inf=0.0033, gap=nan, nnz=30242(0.053), time=1.1e+02
iter=715, #inner=19, relaxed-p-obj=nan, decoded_t=4494.756, best_decoded=8115.652, eta=1, p_inf=0.039, d_inf=0.0026, gap=nan, nnz=30311(0.053), time=1.1e+02
iter=720, #inner=18, relaxed-p-obj=nan, decoded_t=4494.756, best_decoded=8115.652, eta=1, p_inf=0.039, d_inf=0.0031, gap=nan, nnz=30365(0.053), time=1.1e+02
iter=725, #inner=18, relaxed-p-obj=nan, decoded_t=4494.756, best_decoded=8115.652, eta=1, p_inf=0.039, d_inf=0.004, gap=nan, nnz=30296(0.053), time=1.1e+02
iter=730, #inner=18, relaxed-p-obj=nan, decoded_t=4494.756, best_decoded=8115.652, eta=1, p_inf=0.039, d_inf=0.0049, gap=nan, nnz=30357(0.053), time=1.1e+02
iter=735, #inner=18, relaxed-p-obj=nan, decoded_t=4494.756, best_decoded=8115.652, eta=1, p_inf=0.039, d_inf=0.0044, gap=nan, nnz=30307(0.053), time=1.1e+02
iter=740, #inner=18, relaxed-p-obj=nan, decoded_t=4494.756, best_decoded=8115.652, eta=1, p_inf=0.039, d_inf=0.0036, gap=nan, nnz=30355(0.053), time=1.1e+02
