TRWS  Tests ...
loading .h5 file ../../../data//ImageAlignment/uai/fileforGal_400markers.uai.h5................done
algorithm constructing...
algorithm starting...
best_value=-6945.33, lower_bound=6673.7, time=0.147809
best_value=-6907.64, lower_bound=6905.43, time=4.07923
best_value=-6907.64, lower_bound=6905.43, time=4.11487
best_value=-6907.64, lower_bound=6905.43, time=4.15091
best_value=-6907.64, lower_bound=6905.44, time=4.18704
best_value=-6907.64, lower_bound=6905.44, time=4.2228
best_value=-6907.64, lower_bound=6905.44, time=4.25859
best_value=-6907.64, lower_bound=6905.44, time=4.29402
best_value=-6907.64, lower_bound=6905.44, time=4.32981
best_value=-6907.64, lower_bound=6905.44, time=4.36557
best_value=-6907.64, lower_bound=6905.44, time=4.40132
best_value=-6907.64, lower_bound=6905.44, time=4.43709
best_value=-6907.64, lower_bound=6905.45, time=4.47333
best_value=-6907.64, lower_bound=6905.45, time=4.50927
best_value=-6907.64, lower_bound=6905.45, time=4.5454
best_value=-6907.64, lower_bound=6905.45, time=4.58146
best_value=-6907.64, lower_bound=6905.45, time=4.6178
best_value=-6907.64, lower_bound=6905.45, time=4.65351
best_value=-6907.64, lower_bound=6905.45, time=4.68907
best_value=-6907.64, lower_bound=6905.45, time=4.72461
best_value=-6907.64, lower_bound=6905.45, time=4.76063
best_value=-6907.64, lower_bound=6905.45, time=4.79646
best_value=-6907.64, lower_bound=6905.46, time=4.83247
best_value=-6907.64, lower_bound=6905.46, time=4.86836
best_value=-6907.64, lower_bound=6905.46, time=4.90402
best_value=-6907.64, lower_bound=6905.46, time=4.93949
best_value=-6907.64, lower_bound=6905.46, time=4.97551
best_value=-6907.64, lower_bound=6905.46, time=5.0114
best_value=-6907.64, lower_bound=6905.46, time=5.04711
best_value=-6907.64, lower_bound=6905.46, time=5.08294
best_value=-6907.64, lower_bound=6905.46, time=5.11918
best_value=-6907.64, lower_bound=6905.46, time=5.15512
best_value=-6907.64, lower_bound=6905.46, time=5.19139
best_value=-6907.64, lower_bound=6905.46, time=5.22718
best_value=-6907.64, lower_bound=6905.46, time=5.26301
best_value=-6907.64, lower_bound=6905.46, time=5.29867
best_value=-6907.64, lower_bound=6905.46, time=5.33458
best_value=-6907.64, lower_bound=6905.47, time=5.36993
best_value=-6907.64, lower_bound=6905.47, time=5.40599
best_value=-6907.64, lower_bound=6905.47, time=5.44165
best_value=-6907.64, lower_bound=6905.47, time=5.47742
best_value=-6907.64, lower_bound=6905.47, time=5.51303
best_value=-6907.64, lower_bound=6905.47, time=5.548
best_value=-6907.64, lower_bound=6905.47, time=5.58349
best_value=-6907.64, lower_bound=6905.47, time=5.61905
best_value=-6907.64, lower_bound=6905.47, time=5.6542
best_value=-6907.64, lower_bound=6905.47, time=5.68987
best_value=-6907.64, lower_bound=6905.47, time=5.726
best_value=-6907.64, lower_bound=6905.47, time=5.7618
best_value=-6907.64, lower_bound=6905.47, time=5.7977
best_value=-6907.64, lower_bound=6905.47, time=5.83341
best_value=-6907.64, lower_bound=6905.47, time=5.86907
best_value=-6907.64, lower_bound=6905.47, time=5.91332
best_value=-6907.64, lower_bound=6905.47, time=5.94921
best_value=-6907.64, lower_bound=6905.47, time=5.98566
best_value=-6907.64, lower_bound=6905.47, time=6.02165
best_value=-6907.64, lower_bound=6905.47, time=6.05759
best_value=-6907.64, lower_bound=6905.47, time=6.09303
best_value=-6907.64, lower_bound=6905.47, time=6.12903
best_value=-6907.64, lower_bound=6905.47, time=6.16439
best_value=-6907.64, lower_bound=6905.47, time=6.20027
best_value=-6907.64, lower_bound=6905.47, time=6.23627
best_value=-6907.64, lower_bound=6905.47, time=6.27212
best_value=-6907.64, lower_bound=6905.47, time=6.30832
best_value=-6907.64, lower_bound=6905.47, time=6.34411
best_value=-6907.64, lower_bound=6905.48, time=6.37979
best_value=-6907.64, lower_bound=6905.48, time=6.41593
best_value=-6907.64, lower_bound=6905.48, time=6.45209
best_value=-6907.64, lower_bound=6905.48, time=6.48749
best_value=-6907.64, lower_bound=6905.48, time=6.52287
best_value=-6907.64, lower_bound=6905.48, time=6.5585
best_value=-6907.64, lower_bound=6905.48, time=6.59426
best_value=-6907.64, lower_bound=6905.48, time=6.62975
best_value=-6907.64, lower_bound=6905.48, time=6.66566
